Group,Mouse_ID,Day,Fecal_MNV_RNA_log10_copies_mg,Group,Mouse_ID,Day,Body_Weight_Change_Percent,Group,Mouse_ID,IFN_gamma_pg_mg,IFN_lambda_pg_mg,IL_22_pg_mg,Group,Mouse_ID,Ileal_Pathology_Score,Serum_FITC_Dextran_ug_ml,Group,Mouse_ID,Day,Fecal_MNV_RNA_log10_copies_mg,Body_Weight_Change_Percent,IFN_gamma_pg_mg,IFN_lambda_pg_mg,IL_22_pg_mg,Ileal_Pathology_Score,Serum_FITC_Dextran_ug_ml
GF_MNV,GF_MNV_Mouse_1,0,0,GF_MNV,GF_MNV_Mouse_1,0,0,GF_Uninfected,GF_Uninfected_Mouse_1,"8,7","5,6","10,9",GF_MNV,GF__MNV_1,"3,24","176,68",GF_MNV,GF_MNV_Mouse_1,3,"7,324","-13,1","138,7","69,9","51,1","3,24","176,68"
GF_MNV,GF_MNV_Mouse_1,1,"5,557",GF_MNV,GF_MNV_Mouse_1,1,"-5,8",GF_Uninfected,GF_Uninfected_Mouse_2,"9,2","5,1","4,2",GF_MNV,GF__MNV_2,"2,69","200,04",GF_MNV,GF_MNV_Mouse_2,3,"8,074","-14,1","141,8","56,3","46,4","2,69","200,04"
GF_MNV,GF_MNV_Mouse_1,3,"7,324",GF_MNV,GF_MNV_Mouse_1,3,"-13,1",GF_Uninfected,GF_Uninfected_Mouse_3,"7,9","4,4","7,2",GF_MNV,GF__MNV_3,"3,08","150,47",GF_MNV,GF_MNV_Mouse_3,3,"7,001","-11,8","136,4","42,9","47,9","3,08","150,47"
GF_MNV,GF_MNV_Mouse_1,5,"6,19",GF_MNV,GF_MNV_Mouse_1,5,"-12,8",GF_Uninfected,GF_Uninfected_Mouse_4,"9,5","6,8","6,5",GF_MNV,GF__MNV_4,"3,15","136,82",GF_MNV,GF_MNV_Mouse_4,3,"7,098","-16,1","140,9","58,1","42,9","3,15","136,82"
GF_MNV,GF_MNV_Mouse_1,7,"3,9",GF_MNV,GF_MNV_Mouse_1,7,"-9,5",GF_Uninfected,GF_Uninfected_Mouse_5,"9,8","4,5","7,1",GF_MNV,GF__MNV_5,"3,31","178,86",GF_MNV,GF_MNV_Mouse_5,3,"7,801","-12,4","120,1","46,4","39,7","3,31","178,86"
GF_MNV,GF_MNV_Mouse_1,10,"2,63",GF_MNV,GF_MNV_Mouse_1,10,"-3,3",GF_Uninfected,GF_Uninfected_Mouse_6,"8,6",4,8,GF_MNV,GF__MNV_6,"3,41","115,83",GF_MNV,GF_MNV_Mouse_6,3,"6,986","-18,8","119,7","51,7","42,3","3,41","115,83"
GF_MNV,GF_MNV_Mouse_2,0,0,GF_MNV,GF_MNV_Mouse_2,0,0,GF_Uninfected,GF_Uninfected_Mouse_7,"11,4","5,1","8,4",GF_MNV,GF__MNV_7,"3,53","156,48",GF_MNV,GF_MNV_Mouse_7,3,"7,722","-15,2","141,4","50,2","41,5","3,53","156,48"
GF_MNV,GF_MNV_Mouse_2,1,"5,124",GF_MNV,GF_MNV_Mouse_2,1,"-4,8",GF_Uninfected,GF_Uninfected_Mouse_8,6,"5,8",8,GF_MNV,GF__MNV_8,"2,99","146,06",GF_MNV,GF_MNV_Mouse_8,3,"8,012","-11,5","165,7","47,9","22,7","2,99","146,06"
GF_MNV,GF_MNV_Mouse_2,3,"8,074",GF_MNV,GF_MNV_Mouse_2,3,"-14,1",GF_Uninfected,GF_Uninfected_Mouse_9,"11,8","3,4",10,GF_MNV,GF__MNV_9,"2,68","125,91",GF_MNV,GF_MNV_Mouse_9,3,"7,116","-14,4","153,7","55,1","36,9","2,68","125,91"
GF_MNV,GF_MNV_Mouse_2,5,"7,444",GF_MNV,GF_MNV_Mouse_2,5,"-12,3",GF_Uninfected,GF_Uninfected_Mouse_10,"9,7","5,4",5,GF_MNV,GF__MNV_10,"2,76",150,GF_MNV,GF_MNV_Mouse_10,3,"6,624","-11,9","147,3","45,5","38,2","2,76",150
